imie;nazwisko;miasto;ulica;nr;mieszkanie;data_ur;pesel
Julian;PISSERA;Kalinów;ulica Byczyńska;75;85;28.03.1975;75032870785
Zuzanna;NYSLER;Porzecze;ulica Brata Alberta;42;24;12.06.1974;74061298210
Jagoda;AZARENKOVA;Rakołupy;ulica Makowska;6;54;11.07.1987;87071198457
Bartosz;DŁUCIOK;Korytkowo;ulica Pustułeczki;48;23;21.02.1965;65022118803
Katarzyna;CHALEŃSKA;Borek;ulica Józefa Sułkowskiego;98;26;30.01.1930;30013033192
Milena;ROELLE;Rogożówka;ulica Szreniawska;13;25;08.01.1967;67010888306
Natalia;ALOU;Kolonia Druga;Aleja Andrzeja Panufnika;31;57;23.08.1977;77082384379
Fabian;ZARITSKYY;Przyłęk-Kolonia;ulica Stefana Drzewieckiego;85;21;14.11.1921;21111416062
Joanna;DUSIŁO;Pasieka;ulica Karola Szczecińskiego;41;97;19.02.1955;55021917888
Kamil;POSVALIUK;Zagrądy;ulica Olszynowa;23;47;09.09.1908;08090991953
Marcelina;HARKOWSKA;Chałupki;ulica Skierdowska;38;19;24.09.1959;59092496090
Wiktor;BŁASZK;Hubinek;Aleja ks. Janusza Stanisława Pasierba;79;4;28.02.1929;29022887286
Jan;BYDŁOWSKI;Lipowa Góra;ulica Zatorze;68;43;21.08.1916;16082149503
Wiktoria;RAJMUNTOWICZ;Trzebionka;ulica Wczele;73;7;21.03.1976;76032184702
Barbara;SILKEIT;Wierzbowiec;ulica Sułkowicka;17;97;07.06.1935;35060781648
Alicja;TANNENBERGOVÁ;Rynarcice;ulica Ostrowiecka;55;9;08.11.1998;98110880134
Karol;ADEYINKA;Ogrody;ulica Halna;74;53;28.07.1990;90072837085
Jagoda;BRENINEK;Górka;ulica Ananasowa;98;53;29.06.1942;42062992616
Alicja;NAGADUŚ;Podmłynie;ulica Borowej Góry;48;90;11.05.1946;46051177168
Patryk;VAKULICH;Roztoki Górne;ulica Niebieska;57;26;19.05.1971;71051971635
Nikodem;AJMAR;Rędziny;ulica Jeziorowa;23;89;22.12.1959;59122294164
Paweł;ĆWIERZ-WOŹNICZKA;Borsuki-Gajówka;ulica Karola Borsuka;10;52;28.11.1940;40112858526
Anna;PRZEKORACKA;Wierśnie;ulica Na Przyzbie;38;5;15.10.1907;07101576987
Karol;ZAULYCHNYI;Wólka Radzymińska;Aleja Piotra Drzewieckiego;59;79;16.07.1980;80071623233
Maja;BARZOWSKA;Staw Ujazdowski;ulica Gratyny;29;23;22.11.1988;88112267515
Weronika;STEC-LASKOWSKA;Świdrowa;ulica Jana Matejki;43;84;28.05.1991;91052818222
Mikołaj;UZDAWINIS;Goławin;ulica Józefa Dwernickiego;86;82;08.09.1911;11090811550
Krystian;GROCZUK;Zabłocie;ulica św. Antoniego;37;13;29.12.1916;16122992546
Filip;KHYZHKO;Psary Stare;ulica Aleksandry Śląskiej;90;81;06.09.1908;08090694218
Wiktoria;NEZHURINA;U Waliczka;ulica Pod Skocznią;96;14;27.05.1918;18052731465
Marta;DEMEDZIUK;Wola Starowiejska;ulica Iglasta;96;9;18.10.1942;42101811131
Ewa;WILLEN;Siodło;ulica Drezdeńska;74;60;05.02.1988;88020580586
Kinga;WERESIUK;Słosinko;ulica Kormoranów;50;55;12.07.1919;19071285157
Igor;ABRAHAMCZYK;Czechowo;ulica Piekarska;54;3;23.12.1982;82122384195
Kaja;KOREIKA;Komorniki;ulica Kąkolowa;14;22;25.08.1952;52082526904
Piotr;BAYOK;Zborówek Nowy;ulica Kobylańska;19;28;24.11.1930;30112453672
Antonina;RICE;Młynowo;ulica Artyleryjska;81;48;04.08.1921;21080487948
Tymoteusz;KARUNOS;Zęblewski Młyn;ulica Podhalańska;38;96;12.06.1943;43061293142
Alicja;STRZEŻYŃSKA;Podpowieszon;ulica Józefa Chełmońskiego;44;47;08.12.1945;45120824529
Bartłomiej;SIGNORE;Nowina;ulica Willowa;99;34;18.12.1979;79121894864
Jan;MYKHAILIUTA;Stary Dwór;Plac Na Rozdrożu;43;72;06.12.1967;67120688512
Piotr;KOTROZOS;Michalaki;ulica Eustachego Tyszkiewicza;2;63;11.09.1971;71091118861
Marta;PARUCKA;Pierekał-Zawały;ulica Traszki;19;51;05.02.1943;43020555180
Igor;BORÓWEK;Parcele;ulica Marii Kazimiery;77;89;30.01.1996;96013064221
Amelia;ANDRONOWSKA;Gurostwo;ulica Laskowa;28;29;27.11.1921;21112738487
Karol;KOROWICKI;Drążewo;ulica Lipska;91;45;01.02.1923;23020178012
Weronika;SAZHUMYAN;Podlesie;ulica Aleksandra Gierymskiego;14;13;25.02.1930;30022585293
Ewa;RZĄCA;Zielony Kąt;Rondo ks. Mieczysława Krygiera;46;79;16.12.1936;36121632060
Alan;ŻAGLEWICZ;Mała Główka;ulica Szlachecka;36;9;29.08.1976;76082987552
Kaja;SIEDLANOWSKA;Dolne Wymiary;ulica Augusta Cieszkowskiego;91;65;16.01.1998;98011658137
Krystian;BROENS;Łysek;ulica Klimontowska;80;60;12.05.1992;92051226332
Nadia;SENDLA;Włyń;ulica Sielska;92;10;03.12.1935;35120370579
Nikola;LECH BERNARDONI;Helenka;ulica Chorzowska;71;100;10.10.1977;77101070046
Aleksander;ZUSMAN;Czerna;ulica Zygmunta Markerta;34;35;05.12.1989;89120532771
Ksawery;VANTUKH;Mały Cisiec;ulica Zagójska;79;63;15.04.1938;38041596029
Julian;ALAJLAN;Ćwiercie;ulica Milenijna;78;91;13.08.1933;33081385536
Laura;PLUCINSKI;Machnacz;ulica Ludwika Mycielskiego;48;31;15.04.1990;90041599812
Wiktoria;SATTI;Kłębiki;ulica Do Fortu;87;52;08.12.1910;10120817227
Katarzyna;POPŁAWSKA-JÓŹWIAK;Działy;ulica Inżynierska;47;100;22.09.1967;67092297240
Paulina;SIDAROVICH;Stankowicze;ulica Augustyna Locciego;75;70;27.10.1913;13102773030
Fabian;WOLASZEK;Korpysy;ulica Drapińska;88;51;10.09.1965;65091011424
Kaja;BRONSZEWSKA;Ciosaniec;ulica Jana Dantyszka;4;43;05.10.1973;73100525897
Blanka;ZALECIŃSKA;Holendry Chwalborskie;ulica Kozia;67;83;29.08.1969;69082991175
Patrycja;FULNECZEK;Żarnówko;ulica Jana Karola Chodkiewicza;12;67;08.09.1930;30090842042
Maksymilian;PARIZER;Boguczyzna;ulica Lawendowa;15;48;01.08.1932;32080117790
Aleksandra;LIRKA;Huby Cięciskie;ulica Jankowska;98;41;12.11.1946;46111229594
Filip;GRZEBYK;Raszelki;ulica Diamentowa;74;60;04.01.1979;79010456570
Klaudia;BIEL;Szklary;ulica Ostródzka;17;74;08.12.1955;55120828409
Wojciech;SALAMĄDRY;Maręże;ulica Hipotezy;98;5;11.04.1954;54041186028
Maja;KUŁEK;Kraków;ulica Ignacego Kruszewskiego;11;95;27.05.1972;72052730657
Jagoda;SALOSTOWITZ;Łopatówka;ulica Lirowa;32;70;03.09.1973;73090328334
Maciej;KASIEDCZAK;Boża Wola;ulica Gottfrieda Leibniza;28;8;22.06.1964;64062226738
Barbara;HAVLÍČKOVÁ;Markówka;Rondo Emanuela Bułhaka;76;78;06.12.1985;85120676798
Mikołaj;COMBER;Rybnica;ulica Pęcherska;11;32;01.10.1939;39100156502
Nikola;EL-HELOU;Zygmuntowo;Plac 1905 Roku;1;88;18.02.1997;97021859991
Magdalena;BARBASIEWICZ;Zamoście;ulica Ludwika Narbutta;13;71;29.02.1986;86022985125
Maja;GABRYL;Kotlice-Kolonia;ulica Żywiczna;96;89;22.05.1919;19052242124
Małgorzata;WYDORSKA;Za Górą;ulica Agnieszki;16;19;30.03.1916;16033041727
Laura;MOSKALEWICZ;Izdebno Małe;ulica Stanisława Bodycha;6;36;14.09.1957;57091466402
Leon;HNATUSHOK;Rawa;ulica Wał Miedzeszyński;62;77;19.03.1932;32031968556
Nikodem;SZATYŁO;Leszczyn Księży;ulica Wieczorowa;74;42;10.08.1957;57081018677
Ewa;PRUGAR-KETLING;Krzewina;ulica Wytworna;29;81;05.11.1938;38110567424
Mikołaj;BAFJA;Potok Jaworowski;ulica Bronisława Trentowskiego;71;99;05.02.1907;07020592973
Maksymilian;WUDARZEWSKI;Szpęgawa;ulica Antoniego Ponikowskiego;56;7;22.12.1994;94122266450
Maksymilian;ALOBEIDY;Reczyce;ulica Ludwika Michała Paca;10;36;28.08.1922;22082870861
Marcelina;HARIMSKA;Krysiaki Będkowskie;ulica Wawerska;22;35;12.09.1929;29091265358
Emilia;TOMAK;Wielki Garc;ulica Bugaj;81;47;29.02.1970;70022966226
Aleksander;LAPERISHVILI;Majdan Krzywski;ulica Iwicka;97;36;05.08.1959;59080546198
Tymon;ELWICH;Aleksandrów Drugi;ulica Rodziny Hiszpańskich;96;9;04.05.1993;93050460775
Gabriel;SUPEREK;Brzoza-Kolonia;ulica Gębicka;97;87;30.12.1939;39123058901
Marcel;GEORG;Karczma Kunowska;ulica Praska;32;96;04.05.1917;17050414434
Stanisław;KISIELCZUK;Grądy;ulica Pastewna;52;79;05.05.1974;74050578210
Dawid;DMYTRIAT;Białogard;ulica Witolda Lutosławskiego;93;63;30.01.1929;29013096183
Igor;ZABIERZEWSKI;Grójec;ulica Wycieczka;81;28;15.01.1948;48011528923
Oliwier;AMBROŻAK;Książ;ulica Czapelska;2;59;05.02.1910;10020568971
Jan;NITZKE;Poczekajka;ulica Wróbla;67;88;24.01.1921;21012420379
Bartłomiej;CZARNOBRYWY;Wyszczyczek;ulica Wyględowska;48;77;04.10.1955;55100412726
Miłosz;STIESZENKO;Krynica;ulica Wybrzeże Gdańskie;88;97;09.07.1924;24070919664
Liliana;RDZANY;Karolina;ulica Powstańców Śląskich;58;44;02.01.1919;19010221576
Adrian;HERYNOWSKI;Malówka;ulica Łaziebna;11;35;01.07.1964;64070145856
Barbara;SHMYRUK;Błotne;ulica Pokorna;50;59;05.11.1975;75110592692
Adrian;BUCZKOWSKI-WOJTASZEK;Zagaje;ulica Pasterska;95;85;27.07.1911;11072759509
Piotr;GUMRUIAN;Cisie-Gajówka;ulica Cypriana Godebskiego;74;68;12.08.1945;45081264329
Marcelina;ŁOMECKA;Rynek;ulica Leżajska;17;67;23.08.1957;57082328479
Natalia;MASKELL;Skalno;ulica Bananowa;82;82;21.05.1990;90052178254
Hanna;BOBOSHKO;Porąbka;ulica Lipska;95;56;11.06.1936;36061163148
Tomasz;JEBALI;Skrzynki-Parcele;ulica Zawiślańska;24;75;06.06.1938;38060657985
Paweł;GOSIOROWSKI;Urzecze;ulica Finałowa;18;94;03.09.1913;13090380187
Agata;BITA;Chamówka;ulica Przemysława II;25;82;10.07.1981;81071085083
Kaja;DOBRUTSKA;Stara Wieś;ulica Górczewska;32;51;25.04.1924;24042536429
Milena;HACZKIEWICZ;Szadurczyce;ulica Zawrotna;2;95;22.12.1934;34122236692
Michalina;GADŻANOW;Zadziele;ulica Obrazkowa;19;57;26.06.1920;20062658525
Kinga;KŁÓDKOWSKA;Zadole;ulica Mokrzecka;94;59;25.07.1964;64072560846
Antoni;SUTOWICZ;Przymiarki;ulica Czerwonych Maków;50;53;02.01.1910;10010245803
Emilia;DŁUSZYŃSKA;Frydrychowo;ulica Rajszewska;10;23;23.08.1940;40082359119
Jakub;GOŁDYNIAK;Lipinki;ulica Fabryczna;11;5;02.12.1907;07120277149
Tymon;MAŁACHWIEJ;Stachnikówka;ulica Teofila Lenartowicza;97;86;11.11.1964;64111154471
Gabriela;FOKA;Morańdówka;ulica Romea i Julii;33;44;06.06.2000;00060648418
Amelia;SZABELEWSKA;Czerniewice;ulica Etiudy Rewolucyjnej;58;95;28.11.1943;43112881733
Tomasz;MINKSZTYM;Chomącko;ulica Morelowa;85;71;18.06.1963;63061860295
Barbara;POWAŻA;Leśniewo;ulica Bagatela;23;38;27.12.1948;48122760563
Marcin;WŁODYKA;Lisiec Wielki;ulica Bukowa;51;88;16.10.1965;65101660421
Tymoteusz;SAVRATSKYI;Ludwinów;ulica Jarosława Dąbrowskiego;11;80;21.03.1984;84032176050
Bartłomiej;BOUALLAGUI;Bieniewo-Wieś;ulica Wisełki;100;24;08.07.1962;62070885283
Jan;CERNENCO;Wola Rzędzińska;Rondo Braci Skurów;38;6;13.12.1981;81121367398
Mateusz;RACHMANT;Sobki;ulica Estragonowa;13;68;02.11.1981;81110295605
Ksawery;TOMCHENKO;Jabłonna;ulica Hołubcowa;52;21;23.01.1955;55012374115
Tymoteusz;GARASIEWICZ;Kalina-Wysiołek;Kamionkowskie Błonia Elekcyjne;6;86;29.07.1927;27072939565
Jan;LEMBERK;Zakaniów;ulica Waligóry;25;34;09.03.1963;63030976861
Zuzanna;PONC;Przywary;Aleja Mieczysława Grydzewskiego;6;46;10.08.1944;44081010201
Wojciech;KALOUDIS;Przywilcz;ulica Lapońska;36;18;15.08.1927;27081522924
Anna;HELEVERA;Markotów Mały;ulica Hawajska;78;83;18.10.1978;78101859961
Paulina;KOHATKO;Białobłoty;ulica Błażeja;96;32;08.02.1925;25020858766
Tymon;ZYMA;Sielec;Park Promenada;37;94;30.05.1955;55053035713
Milena;NOWAK-WRZESIŃSKA;Jaromierz;ulica Sikorska;69;85;09.01.1962;62010935003
Nadia;KUŁAGIN;Karczmiska Pierwsze;ulica Tadeusza Borowskiego;67;26;23.02.1914;14022382789
Kornelia;GAKAEVA;Bienduszka;Rondo ks. Stanisława Witkowskiego;77;28;18.03.1992;92031879374
Zofia;SHETTY;Brodowo-Kuce;ulica Stanisława Dubois;47;48;02.03.1911;11030288090
Stanisław;HANĆKOWIAK;Marcinowice;ulica Budrysów;21;8;25.10.1976;76102546082
Maciej;STANKOWIAK;Za Okopiskiem;ulica Kazimierza Grodeckiego;42;64;03.05.1948;48050364968
Alicja;TIMOSZENKO;Mostowo;ulica Fanfarowa;83;25;15.03.1906;06031511135
Nikodem;KAWULAK;Zdziechowice Pierwsze;Skwer Integracji;34;76;28.01.1965;65012887639
Magdalena;LAMBORAY;Zalesie;ulica św. Hieronima;2;49;27.03.1993;93032730284
Fabian;PSHUK;Dziubele;ulica Rudawska;86;4;12.05.1974;74051233399
Adrian;SANEWSKI;Szczepocice Prywatne;ulica Pomiechowska;57;5;26.08.1923;23082625481
Wojciech;IZWARYN;Kwaśniakówka;ulica Oczeretu;42;31;29.04.1992;92042933226
Marcel;KORNAUS;Wólka Pogroszewska;ulica Obszarowa;72;40;26.05.1987;87052638674
Marcel;SZLOMS;Grodzeń;ulica Jana Pankiewicza;47;9;12.12.1910;10121260724
Izabela;DAGDELEN;Rumuncin;ulica Palisadowa;91;75;06.03.1929;29030673184
Mikołaj;LOZOVYI;Stawisko;ulica Zagorzycka;64;32;14.09.1982;82091461753
Maksymilian;SIROTSINSKYI;Dłutówek;ulica Majolikowa;79;70;24.05.1982;82052439041
Stanisław;BIELINOWICZ;Na Polu;ulica Jurajska;92;66;22.09.1980;80092284262
Adrian;IGNEROWICZ;Barszczewo;ulica Śródborowska;97;10;05.02.1929;29020540000
Oliwia;PUCEK;Wiłkopedzie;ulica Ppłk. Macieja Kalenkiewicza „Kotwicza”;68;7;18.12.1965;65121890500
Izabela;MYKHAILEVSKA;Lisie Pole;ulica Kaliszówka;3;7;15.01.1988;88011586560
Łucja;SPECYLAK;Trzebiele;ulica Jałtańska;1;65;15.04.1921;21041581814
Nikodem;HORYNICA;Piekło;ulica Łazy;100;15;23.02.1952;52022353000
Emilia;SKUPIŃ;Sędki;ulica Leśniewska;3;42;19.05.1951;51051944966
Patrycja;TKATCH;Deszczno;ulica Markietanki;60;35;07.12.1997;97120770744
Marta;IHDE;Chrząstówko;ulica Palmirska;8;88;21.04.1968;68042166563
Marcelina;MIERZĘCKA;Brzeżawa;ulica Ogrody Przyjaciół;47;38;04.05.1960;60050493569
Iga;WOŹNICKI;Sucha;ulica Owsiana;58;94;28.07.1981;81072886389
Maciej;KHVADAGIANI;Budy;ulica Wiertnicza;97;38;25.03.1914;14032540753
Helena;POTYLICKA;Przyborów;Skwer Wołyński;86;40;24.06.1911;11062454341
Laura;CAŁKA-KOZIEŁ;Żory;ulica Jeziorowa;56;31;23.04.1958;58042310900
Mateusz;ILLES;Cybulino;ulica Swarożyca;30;72;18.09.1987;87091888306
Franciszek;HEJCZYK;Redzyńskie;ulica Franciszka Rymkiewicza;83;5;26.05.1964;64052657534
Kinga;STUPAY;Żelisław-Kolonia;ulica Pińczowska;99;83;17.11.1911;11111712839
Miłosz;SZKULIMOWSKI;Zawsie;ulica Błękitna;78;96;06.07.1936;36070613749
Alicja;SAGHBINI;Mukrz;ulica Zwierzyniecka;67;64;29.09.1972;72092930585
Barbara;WOJCIECHOWSKA-KOZŁOWSKA;Gliczyn;ulica Przyrynek;91;3;27.04.1916;16042757158
Pola;PUKALIUK;Szczyty B;ulica Gnieźnieńska;20;61;21.01.1918;18012158984
Patrycja;DĘBSKA-KOSIŃSKA;Kusowo;ulica Podobna;86;3;06.04.1944;44040628884
Tomasz;VAN DER PAS;Leszczawa Górna;ulica Kruszwicka;69;55;02.06.1972;72060246400
Stanisław;BUCIUTO;Brzeziny;ulica Gubinowska;13;71;04.04.1908;08040461384
Dominik;BOGDANOWICZ-MARKOWSKI;Ossa;Bulwar Jana Karskiego;2;78;07.11.1932;32110716121
Dawid;LEPIANKO;Raciszów;ulica Stradomska;10;20;07.01.1915;15010744635
Dawid;REPA;Niewiarowo;ulica Pokrzywowa;15;15;10.10.1962;62101029964
Hubert;KOZOLUP;Place;ulica Kwiatów Polskich;14;64;26.10.1946;46102668606
Szymon;SAUERBIER;Górzyca;Skwer Batalionu AK „Czata 49”;91;26;15.05.1977;77051535145
Zuzanna;PRYVALAVA;Zła Wieś;ulica Gabriela Piotra Boduena;67;16;06.10.1949;49100635789
Maciej;BOTSVIN;Wila;ulica Świderska;82;1;28.10.1994;94102878763
Patrycja;MOAS;Rytro;ulica gen. Franciszka Kleeberga;58;92;04.05.1959;59050459677
Anna;TSANOS;Zalipie;ulica Ignacego Paderewskiego;57;22;02.12.1914;14120220968
Maja;IWAŃCA;Radoszyce;ulica Zachariasza;21;57;28.08.1994;94082811686
Szymon;TRZAK;Zalipie;ulica Teodora Axentowicza;52;60;10.02.1946;46021083355
Karolina;MARCINIAK-KOWALSKA;Ciechominek;Skwer Przyjaciół Węgierskich;97;79;27.05.1927;27052723808
Alicja;KURZEWNIK;Dąbrowa Tomaszowska;ulica Sierpecka;68;22;02.03.1995;95030259886
Adam;WOSZUK;Podkarczmiska;ulica Księcia Jaremy;2;18;09.06.1938;38060986396
Maja;BRAIG;Do Gierki;ulica Konwaliowa;6;38;10.10.1925;25101035033
Patrycja;KĄKOL;Rakowo;ulica gen. Tadeusza Pełczyńskiego;29;53;22.04.1966;66042274226
Szymon;CHOLAN;Podstawy;ulica Wrzosowa;35;52;04.09.1951;51090475074
Michalina;LĘBA;Ciebłowice Małe;ulica Józefa Ignacego Kraszewskiego;58;69;27.02.1976;76022785823
Kornelia;DOROKHINA;Wachów;ulica Pistacjowa;47;81;01.09.1943;43090127914
Liliana;HUBER;Lichnowy Drugie;Plac Stanisława Małachowskiego;70;84;08.08.1956;56080817959
Marcelina;GRYNBLAT;Zabrowarze;ulica Skarbka z Gór;61;34;18.11.1938;38111860566
Agata;HERMANSKA;Piach;Plac Wileński;8;15;29.05.1911;11052946006
Stanisław;KILCZEWSKI;Jeleniówka;ulica Podkładowa;6;5;06.11.1940;40110669322
Leon;ONEISSE;Swaciok;ulica Warsa;14;19;03.10.1939;39100350207
Tymon;ŚWIRBUTOWICZ;Trzęsacz;ulica Fausta;75;55;04.07.1909;09070438628
Patrycja;MNIKOŁAJSKA;Piła;ulica Grzywaczy;99;48;11.06.1999;99061170266
Kinga;NOSEK;Młyny;Skwer Wandy Lurie;21;82;21.03.1944;44032160783
Aleksandra;KORZYB;Chojnów;ulica Mory;27;2;24.10.1971;71102469685
Błażej;SHTEKEN;Wujówka;ulica Łukasza Gołębiowskiego;21;70;15.08.1910;10081514819
Magdalena;ZBIERA;Juchnowiec Górny;ulica Gładka;72;67;14.05.1942;42051463842
Michał;POROKHNIAK;Olszyny;ulica Fromborska;35;34;07.04.1912;12040715831
Leon;SCHECK;Jeziernik;ulica Scholastyków;95;56;30.08.1908;08083069701
Nikodem;TISHKOV;Kaczowice;ulica Szczygla;26;64;05.03.1982;82030538117
Ksawery;WINDZIG;Majdanek;ulica Cyraneczki;48;74;25.06.1995;95062584271
Sebastian;RÓŻAŁOWSKI;Podwale;ulica Heliotropów;29;73;02.07.1922;22070296280
Wiktoria;VASKAN;Kamionka Wielka;Aleja Andrzeja Panufnika;77;53;24.01.1946;46012417324
Wiktor;STORONIAK;Podnionadówka;ulica Filona;36;65;30.11.1940;40113072455
Ksawery;ĆAZIMI;Bukowiec;ulica Stefana Jaracza;71;6;07.10.1911;11100781632
Julian;HASSA;Sielec-Kolonia;ulica Piechoty Wybranieckiej;70;99;16.09.1945;45091690853
Igor;PRYJOMKA;Ługowiny;ulica Snycerska;45;63;08.07.1976;76070877751
Patryk;PONIECKI-KLOTZ;Janikówka;ulica Iberyjska;19;57;02.09.1952;52090261291
Wiktoria;BOLONNA;Duraje;ulica Krzysztofa Kamila Baczyńskiego;70;87;28.10.1983;83102820499
Oliwia;LEMENTAR;Grzybów;ulica Mariana Krawczyka;85;9;18.11.1947;47111861468
Blanka;MUŻDŻYŃSKA;Florianka;ulica Witolda Rychtera;49;21;30.11.1958;58113096444
Martyna;NALLY;Przytarnia;ulica Ksawerego Pruszyńskiego;13;41;18.07.1944;44071815072
Szymon;SAVSHAK;Mątowy Małe;ulica Przedmiejska;22;82;06.06.1943;43060626627
Błażej;ONWUKA;Sikory-Żelazki;ulica Bródnowska;63;40;06.07.1971;71070624775
Tymon;BENDAS;Czarna Huta;ulica Wacława Borowego;55;95;17.05.1993;93051781305
Adam;PATROLSKI;Chwałka;ulica Chemiczna;7;80;29.07.1941;41072987528
Łucja;BROWACKA;Urbanowice;ulica Radłowska;94;42;02.05.1955;55050274609
Antoni;NAZARYAN;Zamek;ulica Zapole;18;92;08.10.1993;93100876312
Karol;BADARCH;Osiny;ulica Leśnej Jeżyny;99;20;11.03.1906;06031196477
Kaja;RUSNIAK;Wygoda;ulica św. Bonifacego;50;17;10.06.1916;16061091276
Łukasz;MAUGERI;Waśniewo-Gwoździe;ulica Jagny;31;10;01.09.1977;77090157785
Klaudia;HIRBA;Kodeniec;ulica Parkingowa;35;57;03.06.1910;10060388357
Jan;KALYNIV;Wilkołaz-Stacja Kolejowa;ulica Tczewska;51;96;23.12.1925;25122374130
Filip;STEINFURTH;Złotniki Kujawskie;ulica Jana Szczepanika;17;79;21.01.1910;10012135265
Julia;MECHNIK;Sporowice;ulica gen. Michała Tokarzewskiego-Karaszewicza;71;83;26.05.1963;63052662480
Karol;IRCZUK;Bohutyn;ulica Stanisława Jana Jabłonowskiego;95;79;30.11.1965;65113042794
Helena;KACNER;Zastruże;ulica Flisaków;56;21;30.10.1999;99103037190
Nikola;ŻENDZIAN;Sachalin;ulica Kalinowska;58;8;18.09.1997;97091871709
Liliana;WYTZLER;Goleszów Górny;ulica Chlebowa;65;73;02.12.1962;62120247349
Paweł;CHIBNER;Pogorzałki;ulica Palmirska;97;36;09.04.1932;32040942592
Michał;POWALLO;Sadzawki;ulica Znicz;22;65;24.03.1960;60032429558
Krzysztof;ŚLIFIŃSKI;Ruda;ulica Krakowiaków;93;37;29.06.1978;78062971066
Jakub;LEGARA;Wierzchowiska Pierwsze;ulica Chorągwi Pancernej;41;43;29.08.1942;42082971866
Franciszek;KLEMENSKI;Jantoniów;ulica Zaściankowa;83;29;22.12.1993;93122272556
Jakub;ZARANEWICZ;Potok;ulica Rybnicka;81;84;24.08.1927;27082441399
Kamil;MARYNIOWSKI;Węchadłowskie;Aleja Władysława Reymonta;94;94;09.02.1969;69020936190
Oliwia;CERANOWSKA;Maszewice;ulica Pierwiosnków;48;42;11.04.1916;16041146769
Paweł;KHAN;Kmiecie;ulica Zabłudowska;82;16;02.12.1934;34120241105
Magdalena;REBOW;Kolonia Wilków;Aleja Księcia Józefa Poniatowskiego;58;28;04.03.1928;28030415599
Paweł;SAJBOTH-DATA;Skoroszów;ulica Andyjska;87;60;08.06.1964;64060857710
Gabriela;BUNSCH;Żalin-Kolonia;ulica Welurowa;99;75;16.08.1911;11081644013
Alicja;MICUŁA;Półanki;Aleja Szpitala Ujazdowskiego;85;92;03.12.1910;10120335191
Gabriela;CISNEROS MATUSZ;Cupel;ulica Śródziemnomorska;30;72;26.09.1998;98092630891
Fabian;SZURIK;Widgiry;ulica Handlowa;23;14;15.08.1918;18081562463
Liliana;CHUBUR;Piaski;ulica Pasterska;70;34;04.03.1924;24030411895
Błażej;ŁOGWINOWICZ;Świercze;ulica Opinogórska;90;56;18.11.1910;10111831846
Agata;STRŐMBERG;Przytocznica;ulica Barska;1;81;12.07.1933;33071265602
Patrycja;SMILKA;Ruta Żeromska;ulica Dąbrowy;87;82;30.08.1915;15083086293
Karol;GUŁKIEWICZ;Bystrzejowice Trzecie;ulica Fabiańska;2;25;18.09.1974;74091843619
Izabela;EIGER;Struga;ulica Krańcowa;53;56;16.09.1949;49091629114
Lena;PALENTA;Przymiarki;ulica Henryka Wierzchowskiego;24;91;21.06.1944;44062132418
Stanisław;KARŁASZ;Drawiny;ulica Cytrynowa;30;31;20.06.1999;99062068579
Barbara;VAN TUIJL;Leonów;Pasaż Złotej Wilgi;20;2;30.06.1998;98063069259
Gabriela;CETKOWSKA;Chrzczonówka;Plac Czesława Niemena;28;19;27.12.1993;93122798394
Fabian;SZYMSZON;Iwanowice Małe;ulica Dzielna;35;5;01.05.1992;92050195621
Marcin;PEŚLA;Kuraszkówek;ulica Mieczysława Fersta;69;47;13.03.1950;50031368460
Pola;ZHYTNIKOVA;Tywola;ulica Patrolowa;94;24;07.03.1933;33030791282
Dominika;CHEA;Konojad-Doły;ulica Krzesanego;20;12;18.07.1953;53071840757
Bartłomiej;AKGŰL;Stara Wieś;ulica Bławatków;7;89;01.09.1970;70090135497
Nadia;ZYLBERSZTEJN;Jonowcówka;Aleja Kazimierza Lisieckiego „Dziadka”;38;65;15.02.1993;93021538816
Piotr;KONCZYŃSKI;Nowe Zambrzyce;ulica Dziupli;8;95;28.06.1987;87062846743
Dawid;POLACZUK;Słonki;ulica Samorządowa;86;71;11.02.1991;91021195964
Tomasz;MIHOV;Zieleniewo;ulica Zygmunta Glogera;84;62;01.02.1965;65020159666
Blanka;DUELL;Jaszowice;ulica Barszczewska;26;12;18.10.1942;42101871527
Marta;PÓŁTORZYCKA;Kijowiec;ulica Prozy;3;100;29.08.1935;35082972283
Anna;ARUSZANJAN;Ławin;Skwer 16 Września 1944 r.;57;3;19.08.1942;42081988162
Alicja;PALISHCHUK;Pokojewo;ulica Tarniny;94;19;10.03.1921;21031029499
Karol;SHVYDNIUK;Poddziele;ulica Wolumen;30;54;04.01.1976;76010445064
Jagoda;GOMOLLA;Iwanówka;ulica Włodzimierza Tetmajera;70;12;07.09.1992;92090739030
Mateusz;HANOL;Korczak;ulica Towarowa;8;4;17.08.1969;69081750411
Julian;BLOTT;Kawęczynek;ulica Wrzesińska;97;52;03.12.1936;36120327103
Jan;GOLANKA;Marynopole;ulica Zielonych Traw;88;41;29.07.1912;12072980738
Oskar;MEDZECH;Żytni Młyn;ulica Rebusowa;77;25;28.02.1986;86022834501
Kacper;VYKHANSKYI;Krzywda;ulica Sabały;7;47;26.12.1951;51122698298
Jagoda;WUJKIEWICZ;Chełmica Duża;ulica Wybrzeże Gdańskie;22;79;21.05.1969;69052180409
Adrian;SIEMIĄCZKO;Sosna-Trojanki;ulica Skromna;43;10;19.07.1934;34071943277
